Assay Type	IEDB Assay ID	Method/Technique	Measurement Of	Units	Tree View Name	Ontology ID	IEDB alternative term	RDFS Label	Textual Definition	Logical Axiom Count	Logical Note	Logical Definition Type	Parent	Technique	Input	Reagent	MHC Source	Biological Process	BCell Process Result	TCell Process Result	Output	Unit	has specified input some material entity plays role 'positive reference substance role'	Term Editor	Definition Source	Curator Comment	Curation Status	Comment	Synonyms				
TCell	407	ICS	IL-21 release		ICS	OBI:0001342	IL-21 release|ICS	intracellular cytokine staining assay measuring epitope specific interleukin-21 production by T cells	An assay of epitope specific interleukin-21 production by T cells that uses an intracellular cytokine staining assay.	1		equivalent	biological activity assay measuring epitope specific interleukin-21 production by T cells	flow cytometry assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				intracellular cytokine staining , ICS, cytokine release				
TCell	394	RNA/DNA detection	CCL2/MCP-1 release		RNA/DNA	OBI:0001343	CCL2/MCP-1 release|RNA/DNA detection	detection of specific nucleic acids with complementary probes assay measuring epitope specific monocyte chemotactic protein-1 production by T cells	An assay of epitope specific monocyte chemotactic protein-1 production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	1		equivalent	biological activity assay measuring epitope specific monocyte chemotactic protein-1 production by T cells	detection of specific nucleic acid polymers with complementary probes										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				RNA detection, DNA detection, cytokine release, PCR, RT-PCR				
TCell	392	ELISA	CCL2/MCP-1 release		ELISA	OBI:0001344	CCL2/MCP-1 release|ELISA	ELISA measuring epitope specific monocyte chemotactic protein-1 production by T cells	An assay of epitope specific monocyte chemotactic protein-1 production by T cells that uses an ELISA.	1		equivalent	biological activity assay measuring epitope specific monocyte chemotactic protein-1 production by T cells	enzyme-linked immunosorbent assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				ELISA, cytokine release				
TCell	parent	biological activity	CCL4/MIP-1b release		CCL4/MIP-1b	OBI:0001345	CCL4/MIP-1b release|biological activity	biological activity assay measuring epitope specific chemokine (C-C motif) ligand 4 production by T cells	A T cell epitope specific cytokine production assay that detects chemokine (C-C motif) ligand 4 production by T cells.	1		equivalent	biological activity assay measuring epitope specific cytokine production by T cells					chemokine (C-C motif) ligand 4 production						PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				CCL4, MIP-1b release, any method, MIP1b, MIP 1b, Chemokine (C-C motif) ligand, macrophage inflammatory protein				
TCell	379	ELISA	IL-21 release		ELISA	OBI:0001346	IL-21 release|ELISA	ELISA measuring epitope specific interleukin-21 production by T cells	An assay of epitope specific interleukin-21 production by T cells that uses an ELISA.	1		equivalent	biological activity assay measuring epitope specific interleukin-21 production by T cells	enzyme-linked immunosorbent assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				ELISA, cytokine release				
TCell	213	in vivo skin test	type IV hypersensitivity (DTH)		type IV hypersensitivity (DTH)	OBI:0001348	type IV hypersensitivity (DTH)|in vivo skin test	in vivo skin test assay measuring T cell epitope specific type IV hypersensitivity	An efficacy of T cell epitope intervention experiment that detects epitope specific type IV hypersensitivity.	1		equivalent	biological activity assay measuring T cell epitope specific in vivo activity							type IV hypersensitivity				PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				any method, type IV hypersensitivity, DTH, skin reaction, allergy, delayed type hypersensitivity				
TCell	390	cytometric bead array	IL-13 release		bead array	OBI:0001349	IL-13 release|cytometric bead array	cytometric bead array assay measuring epitope specific interleukin-13 production by T cells	An assay of epitope specific interleukin-13 production by T cells that uses a cytometric bead array assay.	1		equivalent	biological activity assay measuring epitope specific interleukin-13 production by T cells	cytometric bead array assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				cytometric bead array, cytokine release, CBA				
TCell	281	RNA/DNA detection	IFNg release		RNA/DNA	OBI:0001350	IFNg release|RNA/DNA detection	detection of specific nucleic acids with complementary probes assay measuring epitope specific interferon-gamma production by T cells	An assay of epitope specific interferon-gamma production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	1		equivalent	biological activity assay measuring epitope specific interferon-gamma production by T cells	detection of specific nucleic acid polymers with complementary probes										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				RNA detection, DNA detection, cytokine release, PCR, RT-PCR				
TCell	399	cytometric bead array	TNFa release		bead array	OBI:0001353	TNFa release|cytometric bead array	cytometric bead array assay measuring epitope specific tumor necrosis factor production by T cells	A T cell epitope specific tumor necrosis factor production assay that uses a cytometric bead array assay.	1		equivalent	biological activity assay measuring epitope specific tumor necrosis factor production by T cells	cytometric bead array assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				cytometric bead array, cytokine release, CBA				
TCell	376	ELISPOT	IL-17 release		ELISPOT	OBI:0001354	IL-17 release|ELISPOT	ELISPOT assay measuring epitope specific interleukin-17 production by T cells	An assay of epitope specific interleukin-17 production by T cells that uses an ELISPOT assay.	1		equivalent	biological activity assay measuring epitope specific interleukin-17 production by T cells	enzyme-linked immunospot assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				ELISPOT, cytokine release				
TCell	371	RNA/DNA detection	IFNb release		RNA/DNA	OBI:0001356	IFNb release|RNA/DNA detection	detection of specific nucleic acids with complementary probes assay measuring epitope specific interferon-beta production by T cells	An assay of epitope specific interferon-beta production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	1		equivalent	biological activity assay measuring epitope specific interferon-beta production by T cells	detection of specific nucleic acid polymers with complementary probes										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				RNA detection, DNA detection, cytokine release, PCR, RT-PCR				
TCell	348	RNA/DNA detection	GM-CSF release		RNA/DNA	OBI:0001357	GM-CSF release|RNA/DNA detection	detection of specific nucleic acids with complementary probes assay measuring epitope specific granulocyte macrophage colony-stimulating factor production by T cells	An assay of epitope specific granulocyte macrophage colony stimulating factor production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	1		equivalent	biological activity assay measuring epitope specific granulocyte macrophage colony stimulating factor production by T cells	detection of specific nucleic acid polymers with complementary probes										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				RNA detection, DNA detection, cytokine release, PCR, RT-PCR				
TCell	359	ELISA	IL-8 release		ELISA	OBI:0001359	IL-8 release|ELISA	ELISA measuring epitope specific interleukin-8 production by T cells	An assay of epitope specific interleukin-8 production by T cells that uses an ELISA.	1		equivalent	biological activity assay measuring epitope specific interleukin-8 production by T cells	enzyme-linked immunosorbent assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				ELISA, cytokine release				
TCell	314	cytometric bead array	IL-6 release		bead array	OBI:0001360	IL-6 release|cytometric bead array	cytometric bead array assay measuring epitope specific interleukin-6 production by T cells	An assay of epitope specific interleukin-6 production by T cells that uses a cytometric bead array assay.	1		equivalent	biological activity assay measuring epitope specific interleukin-6 production by T cells	cytometric bead array assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				cytometric bead array, cytokine release, CBA				
TCell	parent	biological activity	IL-23 release		IL-23	OBI:0001363	IL-23 release|biological activity	biological activity assay measuring epitope specific interleukin-23 production by T cells	A T cell epitope specific cytokine production assay that detects interleukin-23 production by T cells.	1		equivalent	biological activity assay measuring epitope specific cytokine production by T cells					interleukin-23 production						PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				IL-23 release, any method, IL23, IL-23, IL 23, interleukin				
TCell	170	RNA/DNA detection	IL-10 release		RNA/DNA	OBI:0001367	IL-10 release|RNA/DNA detection	detection of specific nucleic acids with complementary probes assay measuring epitope specific interleukin-10 production by T cells	An assay of epitope specific interleukin-10 production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	1		equivalent	biological activity assay measuring epitope specific interleukin-10 production by T cells	detection of specific nucleic acid polymers with complementary probes										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				RNA detection, DNA detection, cytokine release, PCR, RT-PCR				
TCell	152	cytometric bead array	TNF release		bead array	OBI:0001368	TNF release|cytometric bead array	cytometric bead array assay measuring epitope specific tumor necrosis factor superfamily cytokine production by T cells	An assay of epitope specific tumor necrosis factor superfamily cytokine production by T cells that uses a cytometric bead array assay.	1		equivalent	biological activity assay measuring epitope specific tumor necrosis factor superfamily cytokine production by T cells	cytometric bead array assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				cytometric bead array, cytokine release, CBA				
TCell	395	ICS	CCL4/MIP-1b release		ICS	OBI:0001370	CCL4/MIP-1b release|ICS	intracellular cytokine staining assay measuring epitope specific chemokine (C-C motif) ligand 4 production by T cells	An assay of epitope specific chemokine (C-C motif) ligand 4 production by T cells that uses an intracellular cytokine staining assay.	1		equivalent	biological activity assay measuring epitope specific chemokine (C-C motif) ligand 4 production by T cells	flow cytometry assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				intracellular cytokine staining , ICS, cytokine release				
TCell	336	ICS	IL-3 release		ICS	OBI:0001376	IL-3 release|ICS	intracellular cytokine staining assay measuring epitope specific interleukin-3 production by T cells	An assay of epitope specific interleukin-3 production by T cells that uses an intracellular cytokine staining assay.	1		equivalent	biological activity assay measuring epitope specific interleukin-3 production by T cells	flow cytometry assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				intracellular cytokine staining , ICS, cytokine release				
TCell	349	ELISA	CCL4/MIP-1b release		ELISA	OBI:0001378	CCL4/MIP-1b release|ELISA	ELISA measuring epitope specific chemokine (C-C motif) ligand 4 production by T cells	An assay of epitope specific chemokine (C-C motif) ligand 4 production by T cells that uses an ELISA.	1		equivalent	biological activity assay measuring epitope specific chemokine (C-C motif) ligand 4 production by T cells	enzyme-linked immunosorbent assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				ELISA, cytokine release				
TCell	151	cytometric bead array	IFNg release		bead array	OBI:0001379	IFNg release|cytometric bead array	cytometric bead array assay measuring epitope specific interferon-gamma production by T cells	An assay of epitope specific interferon-gamma production by T cells that uses a cytometric bead array assay.	1		equivalent	biological activity assay measuring epitope specific interferon-gamma production by T cells	cytometric bead array assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				cytometric bead array, cytokine release, CBA				
TCell	parent	biological activity	IL-18 release		IL-18	OBI:0001380	IL-18 release|biological activity	biological activity assay measuring epitope specific interleukin-18 production by T cells	A T cell epitope specific cytokine production assay that detects interleukin-18 production by T cells.	1		equivalent	biological activity assay measuring epitope specific cytokine production by T cells					interleukin-18 production						PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				IL-18 release, any method, IL-18, IL18, IL 18, interleukin				
TCell	373	RNA/DNA detection	IL-27 release		RNA/DNA	OBI:0001382	IL-27 release|RNA/DNA detection	detection of specific nucleic acids with complementary probes assay measuring epitope specific interleukin-27 production by T cells	An assay of epitope specific interleukin-27 production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	1		equivalent	biological activity assay measuring epitope specific interleukin-27 production by T cells	detection of specific nucleic acid polymers with complementary probes										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				RNA detection, DNA detection, cytokine release, PCR, RT-PCR				
TCell	357	RNA/DNA detection	CXCL10/IP-10 release		RNA/DNA	OBI:0001383	CXCL10/IP-10 release|RNA/DNA detection	detection of specific nucleic acids with complementary probes assay measuring epitope specific IP-10 production by T cells	An assay of epitope specific IP-10 production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	1		equivalent	biological activity assay measuring epitope specific IP-10 production by T cells	detection of specific nucleic acid polymers with complementary probes										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				RNA detection, DNA detection, cytokine release, PCR, RT-PCR				
TCell	221	bioassay	IL-3 release		bioassay	OBI:0001384	IL-3 release|bioassay	cell culture analyte detection bioassay measuring epitope specific interleukin-3 production by T cells	An assay of epitope specific interleukin-3 production by T cells that uses a cell culture analyte detection bioassay.	1		equivalent	biological activity assay measuring epitope specific interleukin-3 production by T cells	reporter cell line analyte detection bioassay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				cytokine bioassay, cytokine release				
TCell	57	ICS	TNF release		ICS	OBI:0001385	TNF release|ICS	intracellular cytokine staining assay measuring epitope specific tumor necrosis factor superfamily cytokine production by T cells	An assay of epitope specific tumor necrosis factor superfamily cytokine production by T cells that uses an intracellular cytokine staining assay.	1		equivalent	biological activity assay measuring epitope specific tumor necrosis factor superfamily cytokine production by T cells	flow cytometry assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				intracellular cytokine staining , ICS, cytokine release				
TCell	parent	biological activity	IL-1a release		IL-1a	OBI:0001388	IL-1a release|biological activity	biological activity assay measuring epitope specific interleukin-1 alpha production by T cells	A T cell epitope specific cytokine production assay that detects interleukin-1 alpha production by T cells.	1		equivalent	biological activity assay measuring epitope specific cytokine production by T cells					interleukin-1 alpha production						PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				IL-1a release, any method, IL-1a, IL1a, IL 1a, interleukin				
TCell	398	RNA/DNA detection	IL-6 release		RNA/DNA	OBI:0001389	IL-6 release|RNA/DNA detection	detection of specific nucleic acids with complementary probes assay measuring epitope specific interleukin-6 production by T cells	An assay of epitope specific interleukin-6 production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	1		equivalent	biological activity assay measuring epitope specific interleukin-6 production by T cells	detection of specific nucleic acid polymers with complementary probes										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				RNA detection, DNA detection, cytokine release, PCR, RT-PCR				
TCell	parent	biological activity	IFNb release		IFNb	OBI:0001390	IFNb release|biological activity	biological activity assay measuring epitope specific interferon-beta production by T cells	A T cell epitope specific cytokine production assay that detects interferon-beta production by T cells.	1		equivalent	biological activity assay measuring epitope specific cytokine production by T cells					interferon-beta production						PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				IFNb release, any method, IFNb, interferon, beta				
TCell	parent	biological activity	IL-12 release		IL-12	OBI:0001391	IL-12 release|biological activity	biological activity assay measuring epitope specific interleukin-12 production by T cells	A T cell epitope specific cytokine production assay that detects interleukin-12 production by T cells.	1		equivalent	biological activity assay measuring epitope specific cytokine production by T cells					interleukin-12 production						PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				IL-12 release, any method, IL-12, IL12, IL 12, interleukin				
TCell	246	in vivo assay	cytotoxicity		in vivo cytotoxicity	OBI:0001392	cytotoxicity|in vivo assay	in vivo assay measuring epitope specific T cell killing	A T cell epitope specific killing assay that uses an in vivo cell mediated cell killing assay.	1		equivalent	biological activity assay measuring epitope specific T cell killing	in vivo cell killing assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				in vivo assay, cytotoxicity				
TCell	363	RNA/DNA detection	IL-23 release		RNA/DNA	OBI:0001395	IL-23 release|RNA/DNA detection	detection of specific nucleic acids with complementary probes assay measuring epitope specific interleukin-23 production by T cells	An assay of epitope specific interleukin-23 production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	1		equivalent	biological activity assay measuring epitope specific interleukin-23 production by T cells	detection of specific nucleic acid polymers with complementary probes										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				RNA detection, DNA detection, cytokine release, PCR, RT-PCR				
TCell	377	cytometric bead array	G-CSF release		bead array	OBI:0001397	G-CSF release|cytometric bead array	cytometric bead array assay measuring epitope specific granulocyte colony stimulating factor production by T cells	An assay of epitope specific granulocyte colony stimulating factor production by T cells that uses a cytometric bead array assay.	1		equivalent	biological activity assay measuring epitope specific granulocyte colony stimulating factor production by T cells	cytometric bead array assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				cytometric bead array, cytokine release, CBA				
TCell	parent	biological activity	TNF release		TNF	OBI:0001400	TNF release|biological activity	biological activity assay measuring epitope specific tumor necrosis factor superfamily cytokine production by T cells	A T cell epitope specific cytokine production assay that detects tumor necrosis factor superfamily cytokine production by T cells.	1		equivalent	biological activity assay measuring epitope specific cytokine production by T cells					tumor necrosis factor superfamily cytokine production						PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				TNF release, any method, TNF, tumor necrosis factor				
TCell	187	reporter gene assay	IL-2 release		reporter gene assay	OBI:0001402	IL-2 release|reporter gene assay	promoter activity detection by reporter gene assay measuring epitope specific interleukin-2 production by T cells	An assay of epitope specific interleukin-2 production by T cells that uses a promoter activity detection by reporter gene assay.	1		equivalent	biological activity assay measuring epitope specific interleukin-2 production by T cells	promoter activity detection by reporter gene assay										IEDB	IEDB				reporter gene assay, cytokine release				
TCell	367	cytometric bead array	CCL3/MIP-1a release		bead array	OBI:0001405	CCL3/MIP-1a release|cytometric bead array	cytometric bead array assay measuring epitope specific macrophage inflammatory protein-1 alpha production by T cells	An assay of epitope specific macrophage inflammatory protein-1 alpha production by T cells that uses a cytometric bead array assay.	1		equivalent	biological activity assay measuring epitope specific macrophage inflammatory protein-1 alpha production by T cells	cytometric bead array assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				cytometric bead array, cytokine release, CBA				
TCell	parent	biological activity	IL-3 release		IL-3	OBI:0001406	IL-3 release|biological activity	biological activity assay measuring epitope specific interleukin-3 production by T cells	A T cell epitope specific cytokine production assay that detects interleukin-3 production by T cells.	1		equivalent	biological activity assay measuring epitope specific cytokine production by T cells					interleukin-3 production						PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				IL-3 release, any method, IL-3, IL3, IL 3, interleukin				
TCell	302	biological activity	activation		activation	OBI:0001407	activation|biological activity	biological activity assay measuring epitope specific T cell activation	A T cell epitope dependent biological activity assay that detects T cell activation.	0	subclass because only has parent	subclass	assay measuring T cell epitope specific biological activity											IEDB	IEDB				any method, T cell activation, calcium flux, activation marker upregulation, CD154, CD25, ZAP-70phos, lacz,CD69, CD137				
TCell	366	cytometric bead array	CCL5/RANTES release		bead array	OBI:0001412	CCL5/RANTES release|cytometric bead array	cytometric bead array assay measuring epitope specific RANTES production by T cells	An assay of epitope specific RANTES production by T cells that uses a cytometric bead array assay.	1		equivalent	biological activity assay measuring epitope specific RANTES production by T cells	cytometric bead array assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				cytometric bead array, cytokine release, CBA				
TCell	388	bioassay	IL-6 release		bioassay	OBI:0001413	IL-6 release|bioassay	cell culture analyte detection bioassay measuring epitope specific interleukin-6 production by T cells	An assay of epitope specific interleukin-6 production by T cells that uses a cell culture analyte detection bioassay.	1		equivalent	biological activity assay measuring epitope specific interleukin-6 production by T cells	reporter cell line analyte detection bioassay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				cytokine bioassay, cytokine release				
TCell	parent	biological activity	IFNg release		IFNg	OBI:0001414	IFNg release|biological activity	biological activity assay measuring epitope specific interferon-gamma production by T cells	A T cell epitope specific cytokine production assay that detects interferon-gamma production by T cells.	1		equivalent	biological activity assay measuring epitope specific cytokine production by T cells					interferon-gamma production						PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				IFNg release, any method, IFNg, interferon, gamma				
TCell	parent	biological activity	TNFa release		TNFa	OBI:0001416	TNFa release|biological activity	biological activity assay measuring epitope specific tumor necrosis factor production by T cells	An assay of epitope specific tumor necrosis factor superfamily cytokine production by T cells that detects tumor necrosis factor production.	1		equivalent	biological activity assay measuring epitope specific tumor necrosis factor superfamily cytokine production by T cells					tumor necrosis factor production						PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				TNFa release, any method, TNFa, tumor necrosis factor, alpha				
TCell	410	intracellular staining	granzyme B release		intracellular staining	OBI:0001423	granzyme B release|intracellular staining	intracellular material detection measuring epitope specific granzyme B release by T cells	A T cell epitope specific granzyme B release assay that uses an intracellular material detection by flow cytometry assay.	1		equivalent	biological activity assay measuring epitope specific granzyme B release by T cells	flow cytometry assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				intracellular staining, granzyme B release				
TCell	222	radio immuno assay (RIA)	IFNg release		RIA	OBI:0001433	IFNg release|radio immuno assay (RIA)	radio immuno assay measuring epitope specific interferon-gamma production by T cells	An assay of epitope specific interferon-gamma production by T cells that uses a radio immuno assay.	1		equivalent	biological activity assay measuring epitope specific interferon-gamma production by T cells	radio immuno assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				radio immuno assay, RIA, cytokine release				
TCell	parent	biological activity	granzyme B release		granzyme B	OBI:0001436	granzyme B release|biological activity	biological activity assay measuring epitope specific granzyme B release by T cells	A T cell epitope specific cytotoxic T cell degranulation assay that detects granzyme B release by T cells.	1		equivalent	biological activity assay measuring epitope specific cytotoxic T cell degranulation					granzyme B production						PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				granzyme B release, any method,granzyme B				
TCell	255	ICS	CXCL9/MIG release		ICS	OBI:0001437	CXCL9/MIG release|ICS	intracellular cytokine staining assay measuring epitope specific chemokine (C-X-C motif) ligand 9 production by T cells	An assay of epitope specific chemokine (C-X-C motif) ligand 9 production by T cells that uses an intracellular cytokine staining assay.	1		equivalent	biological activity assay measuring epitope specific chemokine (C-X-C motif) ligand 9 production by T cells	flow cytometry assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				intracellular cytokine staining , ICS, cytokine release				
TCell	384	ELISA	CCL9/MIP-1g release		ELISA	OBI:0001438	CCL9/MIP-1g release|ELISA	ELISA measuring epitope specific macrophage inflammatory protein-1 gamma production by T cells	An assay of epitope specific macrophage inflammatory protein-1 gamma production by T cells that uses an ELISA.	1		equivalent	biological activity assay measuring epitope specific macrophage inflammatory protein-1 gamma production by T cells	enzyme-linked immunosorbent assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				ELISA, cytokine release				
TCell	parent	biological activity	IL-2 release		IL-2	OBI:0001445	IL-2 release|biological activity	biological activity assay measuring epitope specific interleukin-2 production by T cells	A T cell epitope specific cytokine production assay that detects interleukin-2 production by T cells.	1	subclass because only has parent	subclass	biological activity assay measuring epitope specific cytokine production by T cells					interleukin-2 production						PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				IL-2 release, any method, IL-2, IL2, IL 2, interleukin				
TCell	parent	biological activity	IL-1b release		IL-1b	OBI:0001449	IL-1b release|biological activity	biological activity assay measuring epitope specific interleukin-1 beta production by T cells	A T cell epitope specific cytokine production assay that detects interleukin-1 beta production by T cells.	1		equivalent	biological activity assay measuring epitope specific cytokine production by T cells					interleukin-1 beta production						PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				IL-1b release, any method, IL-1b, IL1b, IL 1b, interleukin				
TCell	parent	biological activity	IL-4 release		IL-4	OBI:0001450	IL-4 release|biological activity	biological activity assay measuring epitope specific interleukin-4 production by T cells	A T cell epitope specific cytokine production assay that detects interleukin-4 production by T cells.	1		equivalent	biological activity assay measuring epitope specific cytokine production by T cells					interleukin-4 production						PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				IL-4 release, any method, IL-4, IL4, IL 4, interleukin				
TCell	parent	biological activity	IL-6 release		IL-6	OBI:0001451	IL-6 release|biological activity	biological activity assay measuring epitope specific interleukin-6 production by T cells	A T cell epitope specific cytokine production assay that detects interleukin-6 production by T cells.	1		equivalent	biological activity assay measuring epitope specific cytokine production by T cells					interleukin-6 production						PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				IL-6 release, any method, IL6, IL 6, IL-6, interleukin				
TCell	63	bioassay	TNFa release		bioassay	OBI:0001452	TNFa release|bioassay	cell culture analyte detection bioassay measuring epitope specific tumor necrosis factor production by T cells	A T cell epitope specific tumor necrosis factor production assay that uses a cell culture analyte detection bioassay.	1		equivalent	biological activity assay measuring epitope specific tumor necrosis factor production by T cells	reporter cell line analyte detection bioassay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				cytokine bioassay, cytokine release				
TCell	342	ICS	lymphotoxin A/TNFb release		ICS	OBI:0001453	lymphotoxin A/TNFb release|ICS	intracellular cytokine staining assay measuring epitope specific lymphotoxin A production by T cells	An assay of epitope specific lymphotoxin A production by T cells that uses an intracellular cytokine staining assay.	1		equivalent	biological activity assay measuring epitope specific lymphotoxin A production by T cells	flow cytometry assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				intracellular cytokine staining , ICS, cytokine release				
TCell	51	ELISPOT	IL-5 release		ELISPOT	OBI:0001455	IL-5 release|ELISPOT	ELISPOT assay measuring epitope specific interleukin-5 production by T cells	An assay of epitope specific interleukin-5 production by T cells that uses an ELISPOT assay.	1		equivalent	biological activity assay measuring epitope specific interleukin-5 production by T cells	enzyme-linked immunospot assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				ELISPOT, cytokine release				
TCell	parent	biological activity	CCL9/MIP-1g release		CCL9/MIP-1g	OBI:0001456	CCL9/MIP-1g release|biological activity	biological activity assay measuring epitope specific macrophage inflammatory protein-1 gamma production by T cells	A T cell epitope specific cytokine production assay that detects macrophage inflammatory protein-1 gamma production by T cells.	1		equivalent	biological activity assay measuring epitope specific cytokine production by T cells					macrophage inflammatory protein-1 gamma production						PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				CCL9, MIP-1g release, any method, MIP1g, MIP 1g, Chemokine (C-C motif) ligand, macrophage inflammatory protein				
TCell	216	cytometric bead array	IL-8 release		bead array	OBI:0001457	IL-8 release|cytometric bead array	cytometric bead array assay measuring epitope specific interleukin-8 production by T cells	An assay of epitope specific interleukin-8 production by T cells that uses a cytometric bead array assay.	1		equivalent	biological activity assay measuring epitope specific interleukin-8 production by T cells	cytometric bead array assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				cytometric bead array, cytokine release, CBA				
TCell	parent	biological activity	CXCL9/MIG release		CXCL9/MIG	OBI:0001459	CXCL9/MIG release|biological activity	biological activity assay measuring epitope specific chemokine (C-X-C motif) ligand 9 production by T cells	A T cell epitope specific cytokine production assay that detects chemokine (C-X-C motif) ligand 9 production by T cells.	1		equivalent	biological activity assay measuring epitope specific cytokine production by T cells					chemokine (C-X-C motif) ligand 9 production						PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				CXCL9, MIG release, any method, C-X-C motif chemokine, monokine induced by gamma interferon				
TCell	401	ELISA	granzyme B release		ELISA	OBI:0001461	granzyme B release|ELISA	ELISA measuring epitope specific granzyme B release by T cells	A T cell epitope specific granzyme B release assay that uses an ELISA.	1		equivalent	biological activity assay measuring epitope specific granzyme B release by T cells	enzyme-linked immunosorbent assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				ELISA				
TCell	parent	biological activity	CCL2/MCP-1 release		CCL2/MCP-1	OBI:0001465	CCL2/MCP-1 release|biological activity	biological activity assay measuring epitope specific monocyte chemotactic protein-1 production by T cells	A T cell epitope specific cytokine production assay that detects monocyte chemotactic protein-1 production by T cells.	1		equivalent	biological activity assay measuring epitope specific cytokine production by T cells					monocyte chemotactic protein-1 production						PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				CCL2, MCP-1 release, any method, MCP1, MCP 1, Chemokine (C-C motif) ligand, monocyte chemotactic protein				
TCell	341	ICS	IL-12 release		ICS	OBI:0001466	IL-12 release|ICS	intracellular cytokine staining assay measuring epitope specific interleukin-12 production by T cells	An assay of epitope specific interleukin-12 production by T cells that uses an intracellular cytokine staining assay.	1		equivalent	biological activity assay measuring epitope specific interleukin-12 production by T cells	flow cytometry assay										PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters	IEDB				intracellular cytokine staining , ICS, cytokine release				
