Accession	IEDB Disease ID	Disease Name																								
DOID:486	981	glomeruloid hemangioma																								
DOID:5241	982	hemangioblastoma																								
DOID:479	983	angiokeratoma																								
DOID:467	984	venous hemangioma																								
DOID:4074	985	pancreatic adenocarcinoma																								
DOID:4073	986	pancreatic cystadenocarcinoma																								
DOID:3587	987	pancreatic ductal carcinoma																								
DOID:6741	988	bilateral breast cancer																								
DOID:3458	989	breast adenocarcinoma																								
DOID:5743	990	acinic cell breast carcinoma																								
DOID:8130	991	breast columnar cell mucinous carcinoma																								
DOID:5310	992	glycogen-rich clear cell breast carcinoma																								
DOID:6263	993	inflammatory breast carcinoma																								
DOID:3008	994	invasive ductal carcinoma																								
DOID:4679	995	breast mucoepidermoid carcinoma																								
DOID:6776	996	breast myoepithelial carcinoma																								
DOID:5675	997	cribriform carcinoma																								
DOID:7843	998	female breast carcinoma																								
DOID:3016	999	breast malignant phyllodes tumor																								
DOID:4511	1000	breast angiosarcoma																								
DOID:0050671	1001	female breast cancer																								
DOID:13799	1002	female breast central part cancer																								
DOID:0060077	1003	progesterone-receptor positive breast cancer																								
DOID:5238	1004	benign perivascular tumor																								
DOID:4932	1005	ampulla of Vater carcinoma																								
DOID:3216	1006	jejunal somatostatinoma																								
DOID:6880	1007	small bowel fibrosarcoma																								
DOID:8850	1008	salivary gland cancer																								
DOID:0050865	1009	tongue squamous cell carcinoma																								
DOID:9188	1010	vestibule of mouth cancer																								
DOID:4294	1011	adenoid basal cell carcinoma																								
DOID:6204	1012	follicular adenoma																								
DOID:5146	1013	appendix leiomyoma																								
DOID:3117	1014	hepatobiliary benign neoplasm																								
DOID:6733	1015	intrahepatic bile duct cystadenoma																								
DOID:0050893	1016	gallbladder adenoma																								
DOID:5134	1017	anus leiomyoma																								
DOID:5143	1018	large bowel leiomyoma																								
DOID:3918	1019	pancreatic cystadenoma																								
DOID:7134	1020	esophagus small cell carcinoma																								
DOID:1106	1021	esophagus lymphoma																								
DOID:0080375	1022	gastroesophageal adenocarcinoma																								
DOID:4607	1023	biliary tract cancer																								
DOID:7024	1024	mucinous intrahepatic cholangiocarcinoma																								
DOID:5923	1025	distal biliary tract carcinoma																								
DOID:3253	1026	embryonal extrahepatic bile duct rhabdomyosarcoma																								
DOID:3500	1027	gallbladder adenocarcinoma																								
DOID:8167	1028	gallbladder melanoma																								
DOID:5789	1029	mixed hepatoblastoma																								
DOID:5296	1030	liver leiomyosarcoma																								
DOID:3559	1031	pseudomyxoma peritonei																								
DOID:7177	1032	anal canal squamous cell carcinoma																								
DOID:3038	1033	submucosal invasive colon adenocarcinoma																								
DOID:5297	1034	rectum leiomyosarcoma																								
DOID:4053	1035	rectum rhabdomyosarcoma																								
DOID:5604	1036	adult acute lymphocytic leukemia																								
DOID:0080145	1037	childhood T-cell acute lymphoblastic leukemia																								
DOID:9954	1038	null-cell leukemia																								
DOID:0060318	1039	acute promyelocytic leukemia																								
DOID:8864	1040	acute monocytic leukemia																								
DOID:8747	1041	subacute myeloid leukemia																								
DOID:0080638	1042	B-cell acute lymphoblastic leukemia																								
DOID:0080651	1043	B-lymphoblastic leukemia/lymphoma with iAMP21																								
DOID:8654	1044	Hodgkin's lymphoma, mixed cellularity																								
DOID:5815	1045	cerebral lymphoma																								
DOID:10540	1046	gastric lymphoma																								
DOID:5517	1047	stomach carcinoma																								
DOID:3716	1048	mucinous stomach adenocarcinoma																								
DOID:6595	1049	gastric tubular adenocarcinoma																								
DOID:0060597	1050	atypical chronic myeloid leukemia																								
DOID:7926	1051	epithelial malignant thymoma																								
DOID:6943	1052	vulvar inverted follicular keratosis																								
DOID:2661	1053	myoepithelioma																								
DOID:13168	1054	prepuce cancer																								
DOID:3451	1055	skin carcinoma																								
DOID:0050749	1056	peripheral T-cell lymphoma																								
DOID:2150	1057	ovarian lymphoma																								
DOID:10146	1058	thymus lymphoma																								
DOID:712	1059	refractory hematologic cancer																								
DOID:4553	1060	thymus large cell carcinoma																								
DOID:7927	1061	malignant type A thymoma																								
DOID:4860	1062	brain stem astrocytic neoplasm																								
DOID:3185	1063	spinal cord glioma																								
DOID:3773	1064	third ventricle chordoid glioma																								
DOID:4151	1065	skull base chordoma																								
DOID:1863	1066	skull cancer																								
DOID:3842	1067	skull base cancer																								
DOID:7103	1068	diaphragma sellae meningioma																								
DOID:4437	1069	skull base meningioma																								
DOID:6517	1070	clivus meningioma																								
DOID:7820	1071	sphenocavernous meningioma																								
DOID:6193	1072	epithelioid sarcoma																								
DOID:6988	1073	peripheral epithelioid sarcoma																								
DOID:3507	1074	dermatofibrosarcoma protuberans																								
DOID:4282	1075	pigmented basal cell carcinoma																								
DOID:4683	1076	cutaneous mucoepidermoid carcinoma																								
DOID:3751	1077	plantar verrucous skin carcinoma																								
DOID:6367	1078	acral lentiginous melanoma																								
DOID:4921	1079	eccrine sweat gland cancer																								
DOID:6333	1080	adult intracranial malignant hemangiopericytoma																								
DOID:0050896	1081	bone squamous cell carcinoma																								
DOID:4549	1082	extraosseous chondrosarcoma																								
DOID:6697	1083	asynchronous multifocal osteogenic sarcoma																								
DOID:7603	1084	fibrosarcomatous osteosarcoma																								
DOID:3381	1085	liposarcoma of bone																								
DOID:3352	1086	malignant fibrous histiocytoma of bone																								
DOID:6208	1087	mediastinal osteogenic sarcoma																								
DOID:6579	1088	chest wall bone cancer																								
DOID:7305	1089	astroblastoma																								
DOID:0050805	1090	glioblastoma mesenchymal subtype																								
DOID:6847	1091	adult botryoid rhabdomyosarcoma																								
DOID:8251	1092	adult pleomorphic rhabdomyosarcoma																								
DOID:5267	1093	anus leiomyosarcoma																								
DOID:5714	1094	intracranial liposarcoma																								
DOID:5711	1095	vulvar liposarcoma																								
DOID:8233	1096	inflammatory liposarcoma																								
DOID:368	1097	cerebrum cancer																								
DOID:6115	1098	lateral ventricle meningioma																								
DOID:14174	1099	central neurocytoma																								
DOID:4205	1100	cerebellum cancer																								
DOID:5056	1101	adult cerebellar neoplasm																								
DOID:0060104	1102	cerebellar medulloblastoma																								
DOID:0050902	1103	medulloblastoma																								
DOID:3869	1104	childhood medulloblastoma																								
DOID:4791	1105	supratentorial primitive neuroectodermal tumor																								
DOID:6634	1106	adult central nervous system choriocarcinoma																								
DOID:4438	1107	central nervous system germinoma																								
DOID:3640	1108	central nervous system teratoma																								
DOID:6016	1109	adult central nervous system mature teratoma																								
DOID:3870	1110	childhood central nervous system primitive neuroectodermal neoplasm																								
DOID:4794	1111	ependymoblastoma																								
DOID:3417	1112	glossopharyngeal nerve neoplasm																								
DOID:7211	1113	fibrous meningioma																								
DOID:6086	1114	malignant leptomeningeal tumor																								
DOID:3641	1115	conus medullaris neoplasm																								
DOID:7915	1116	cervical spinal canal and spinal cord meningioma																								
DOID:292	1117	lacrimal system cancer																								
DOID:6992	1118	intraocular mixed cell type melanoma																								
DOID:4645	1119	retinal cancer																								
DOID:6938	1120	pediatric intraocular retinoblastoma																								
DOID:4651	1121	unilateral retinoblastoma																								
DOID:3479	1122	uveal cancer																								
DOID:7042	1123	ciliary body epithelioid cell melanoma																								
DOID:4698	1124	nerve root neoplasm																								
DOID:4697	1125	perineurioma																								
DOID:4696	1126	intraneural perineurioma																								
DOID:0060116	1127	sensory system cancer																								
DOID:5101	1128	ear cancer																								
DOID:5665	1129	external ear cancer																								
DOID:1748	1130	conjunctival squamous cell carcinoma																								
DOID:5630	1131	Bartholin's gland adenosquamous carcinoma																								
DOID:7363	1132	vulvar keratinizing squamous cell carcinoma																								
DOID:5681	1133	ovarian embryonal carcinoma																								
DOID:7037	1134	childhood immature teratoma of ovary																								
DOID:6512	1135	hepatoid pattern ovarian yolk sac tumor																								
DOID:5208	1136	malignant struma ovarii																								
DOID:6229	1137	childhood mature teratoma of the ovary																								
DOID:5118	1138	ovarian cystic teratoma																								
DOID:1964	1139	fallopian tube cancer																								
DOID:1970	1140	fallopian tube carcinosarcoma																								
DOID:3001	1141	female reproductive endometrioid cancer																								
DOID:5531	1142	ovarian squamous cell carcinoma																								
DOID:9597	1143	Krukenberg carcinoma																								
DOID:6901	1144	familiar ovarian carcinoma																								
DOID:6179	1145	ovarian small cell carcinoma																								
DOID:7651	1146	small-cell carcinoma of the ovary of hypercalcemic type																								
DOID:8361	1147	glassy cell variant cervical adenosquamous carcinoma																								
DOID:5830	1148	cervical endometrioid adenocarcinoma																								
DOID:6627	1149	cervical adenoma malignum																								
DOID:8307	1150	early invasive cervical adenocarcinoma																								
DOID:6428	1151	cervical adenoid basal carcinoma																								
DOID:4520	1152	cervical endometrial stromal sarcoma																								
DOID:7664	1153	endometrial mixed adenocarcinoma																								
DOID:7436	1154	sarcomatoid uterine corpus endometrioid adenocarcinoma																								
DOID:7139	1155	endometrial small cell carcinoma																								
DOID:5166	1156	endometrial stromal tumor																								
DOID:2021	1157	placenta cancer																								
DOID:6693	1158	testicular monophasic choriocarcinoma																								
DOID:8187	1159	gestational uterine corpus choriocarcinoma																								
DOID:8188	1160	uterine corpus choriocarcinoma																								
DOID:0050939	1161	uterine corpus endometrial carcinoma																								
DOID:6139	1162	uterine corpus epithelioid leiomyosarcoma																								
DOID:1901	1163	vagina sarcoma																								
DOID:5283	1164	vagina leiomyosarcoma																								
DOID:5170	1165	vaginal endometrial stromal sarcoma																								
DOID:8208	1166	lung superior sulcus carcinoma																								
DOID:6482	1167	lung acinar adenocarcinoma																								
DOID:0080305	1168	signet ring lung adenocarcinoma																								
DOID:6658	1169	pulmonary large cell neuroendocrine carcinoma																								
DOID:6510	1170	lung occult squamous cell carcinoma																								
DOID:4767	1171	classic pulmonary blastoma																								
DOID:2600	1172	laryngeal carcinoma																								
DOID:7584	1173	subglottis verrucous carcinoma																								
DOID:7763	1174	carcinoma of supraglottis																								
DOID:8133	1175	epiglottis cancer																								
DOID:2764	1176	ethmoid sinus adenoid cystic carcinoma																								
DOID:2763	1177	ethmoid sinus squamous cell carcinoma																								
DOID:5559	1178	mediastinal cancer																								
DOID:4690	1179	childhood mediastinal neurogenic tumor																								
DOID:5126	1180	central nervous system leiomyoma																								
DOID:5123	1181	mediastinum leiomyoma																								
DOID:13958	1182	uterine corpus bizarre leiomyoma																								
DOID:5916	1183	uterine corpus leiomyomatosis																								
DOID:10192	1184	pleomorphic lipoma																								
DOID:1975	1185	thymus lipoma																								
DOID:3179	1186	inverted papilloma																								
DOID:139	1187	squamous cell papilloma																								
DOID:6935	1188	ureter inverted papilloma																								
DOID:5432	1189	bladder papillary transitional cell neoplasm																								
DOID:2683	1190	adenofibroma																								
DOID:5391	1191	bronchus adenoma																								
DOID:2682	1192	intracystic papillary adenoma																								
DOID:2075	1193	minor vestibular glands adenoma																								
DOID:8109	1194	nephrogenic adenoma of the urethra																								
DOID:7333	1195	nephrogenic adenoma of urinary bladder																								
DOID:3829	1196	pituitary adenoma																								
DOID:7004	1197	ACTH-secreting pituitary adenoma																								
DOID:2697	1198	renal adenoma																								
DOID:8104	1199	vaginal tubulovillous adenoma																								
DOID:6613	1200	vaginal villous adenoma																								
DOID:5504	1201	tanycytic ependymoma																								
DOID:3813	1202	central nervous system chondroma																								
DOID:2601	1203	juxtacortical chondroma																								
DOID:0080601	1204	germ cell benign neoplasm																								
DOID:3578	1205	ovarian gonadoblastoma																								
DOID:0060123	1206	connective tissue benign neoplasm																								
DOID:1866	1207	giant cell reparative granuloma																								
DOID:0050895	1208	bone ameloblastoma																								
DOID:461	1209	muscle benign neoplasm																								
DOID:4310	1210	smooth muscle tumor																								
DOID:5724	1211	seminal vesicle cystadenoma																								
DOID:4323	1212	epidermolytic acanthoma																								
DOID:0050771	1213	pheochromocytoma																								
DOID:8304	1214	lymph node palisaded myofibroblastoma																								
DOID:4915	1215	basophilic adenocarcinoma																								
DOID:8050	1216	bladder tubulo-cystic clear cell adenocarcinoma																								
DOID:6481	1217	bladder signet ring cell adenocarcinoma																								
DOID:4468	1218	clear cell adenocarcinoma																								
DOID:2679	1219	dysembryoplastic neuroepithelial tumor																								
DOID:4817	1220	ganglioneuroma																								
DOID:11888	1221	schwannoma of ureter																								
DOID:7880	1222	luteoma																								
DOID:6469	1223	ovarian mucinous adenofibroma																								
DOID:4994	1224	adenomyoma of uterine corpus																								
DOID:7878	1225	uterine corpus atypical polypoid adenomyoma																								
DOID:9442	1226	cervical Mullerian papilloma																								
DOID:0080365	1227	endometrial hyperplasia																								
DOID:2066	1228	vulvar angiokeratoma																								
DOID:5142	1229	vulvar leiomyoma																								
DOID:2060	1230	vulvar nodular hidradenoma																								
DOID:7676	1231	testicular thecoma																								
DOID:2598	1232	laryngeal benign neoplasm																								
DOID:5457	1233	laryngeal neuroendocrine tumor																								
DOID:10071	1234	larynx squamous papilloma																								
DOID:4633	1235	nasal cavity inverting papilloma																								
DOID:1364	1236	ethmoidal sinus benign neoplasm																								
DOID:6854	1237	ethmoid sinus ectopic meningioma																								
DOID:0060082	1238	breast benign neoplasm																								
DOID:1616	1239	benign eccrine breast spiradenoma																								
DOID:10354	1240	breast fibrocystic disease																								
DOID:10353	1241	fibrosclerosis of breast																								
DOID:3009	1242	breast neuroendocrine neoplasm																								
DOID:6841	1243	flat ductal epithelial atypia																								
DOID:0080615	1244	nephroma																								
DOID:6119	1245	renal pelvis urothelial papilloma																								
DOID:730	1246	urethral benign neoplasm																								
DOID:8082	1247	cellular congenital mesoblastic nephroma																								
DOID:5982	1248	kidney fibrosarcoma																								
DOID:5182	1249	blastema predominant kidney Wilms' tumor																								
DOID:5189	1250	epithelial predominant Wilms' tumor																								
DOID:4455	1251	hereditary renal cell carcinoma																								
DOID:4472	1252	mucinous tubular and spindle renal cell carcinoma																								
DOID:4463	1253	multilocular clear cell renal cell carcinoma																								
DOID:6844	1254	kidney pelvis sarcomatoid transitional cell carcinoma																								
DOID:3750	1255	urethra squamous cell carcinoma																								
DOID:6975	1256	bladder urothelial papillary carcinoma																								
DOID:7969	1257	nested variant infiltrating bladder urothelial carcinoma																								
DOID:11813	1258	bladder trigone cancer																								
DOID:5465	1259	conjunctival intraepithelial neoplasm																								
DOID:0060074	1260	ductal carcinoma in situ																								
DOID:0050612	1261	gallbladder carcinoma in situ																								
DOID:8661	1262	lip carcinoma in situ																								
DOID:0050611	1263	pharynx carcinoma in situ																								
DOID:7958	1264	sarcomatoid penile squamous cell carcinoma																								
DOID:5634	1265	adenosquamous prostate carcinoma																								
DOID:4054	1266	prostate sarcoma																								
DOID:5282	1267	prostate leiomyosarcoma																								
DOID:518	1268	scrotum neoplasm																								
DOID:3445	1269	scrotal carcinoma																								
DOID:5556	1270	testicular malignant germ cell cancer																								
DOID:6161	1271	childhood testicular mixed germ cell tumor																								
DOID:7360	1272	solid pattern testicular yolk sac tumor																								
DOID:8042	1273	testis polyembryoma																								
DOID:5842	1274	testis seminoma																								
DOID:5874	1275	retroperitoneal germ cell neoplasm																								
DOID:5284	1276	retroperitoneal leiomyosarcoma																								
DOID:12342	1277	retroperitoneum carcinoma																								
DOID:2994	1278	germ cell cancer																								
DOID:3962	1279	thyroid gland follicular carcinoma																								
DOID:7088	1280	columnar cell variant papillary carcinoma																								
DOID:5342	1281	childhood endodermal sinus tumor																								
DOID:3162	1282	malignant spindle cell melanoma																								
DOID:2685	1283	ossifying fibromyxoid tumor																								
DOID:1115	1284	sarcoma																								
DOID:4838	1285	myoepithelial carcinoma																								
DOID:9299	1286	myocardium cancer																								
DOID:116	1287	pericardium cancer																								
DOID:1540	1288	parathyroid carcinoma																								
DOID:8140	1289	adrenal gland ganglioneuroblastoma																								
DOID:5662	1290	pleomorphic carcinoma																								
DOID:5577	1291	gastrinoma																								
DOID:6857	1292	pineal region mature teratoma																								
DOID:1664	1293	pineoblastoma																								
DOID:5716	1294	hormone producing pituitary cancer																								
DOID:6256	1295	malignant growth hormone secreting neoplasm of pituitary																								
DOID:6274	1296	malignant thyroid stimulating hormone producing neoplasm of pituitary gland																								
DOID:0080522	1297	thyroid gland anaplastic carcinoma																								
DOID:0050547	1298	familial medullary thyroid carcinoma																								
DOID:4012	1299	papillary transitional carcinoma																								
DOID:2780	1300	rectosigmoid junction neoplasm																								
DOID:3081	1301	cystic lymphangioma																								
DOID:60007	1302	cerebrovascular benign neoplasm																								
DOID:11294	1303	arteriovenous malformation																								
DOID:5393	1304	brain angioma																								
DOID:501	1305	central nervous system hemangioma																								
DOID:5137	1306	pericardium leiomyoma																								
DOID:5751	1307	pancreatic serous cystadenocarcinoma																								
DOID:7716	1308	mixed ductal-endocrine carcinoma																								
DOID:7575	1309	pancreatic intraductal papillary-mucinous neoplasm																								
DOID:6581	1310	breast apocrine carcinoma																								
DOID:3610	1311	breast mucinous carcinoma																								
DOID:3609	1312	breast mucinous cystadenocarcinoma																								
DOID:5514	1313	breast squamous cell carcinoma																								
DOID:7541	1314	mixed epithelial/mesenchymal metaplastic breast carcinoma																								
DOID:7953	1315	nipple duct carcinoma																								
DOID:7521	1316	breast myoepitheliosis																								
DOID:1650	1317	female breast axillary tail cancer																								
DOID:13972	1318	female breast lower-outer quadrant cancer																								
DOID:1647	1319	female breast upper-inner quadrant cancer																								
DOID:1614	1320	male breast cancer																								
DOID:5308	1321	ampulla of Vater clear cell adenocarcinoma																								
DOID:10153	1322	ileum cancer																								
DOID:7506	1323	small intestinal L-cell glucagon-like peptide producing tumor																								
DOID:5272	1324	small intestinal sarcoma																								
DOID:8702	1325	cheek mucosa cancer																								
DOID:5309	1326	epithelial-myoepithelial carcinoma																								
DOID:0080641	1327	tongue carcinoma																								
DOID:6228	1328	peritoneal serous papillary adenocarcinoma																								
DOID:9235	1329	pyriform sinus cancer																								
DOID:8937	1330	Waldeyer's ring cancer																								
DOID:8858	1331	tonsil cancer																								
DOID:0080202	1332	adenoid cystic carcinoma																								
DOID:8688	1333	tonsillar pillar cancer																								
DOID:0050921	1334	pharynx squamous cell carcinoma																								
DOID:4148	1335	gastrointestinal neuroendocrine benign tumor																								
DOID:7402	1336	L-cell glucagon-like peptide producing tumor																								
DOID:0050849	1337	periampullary adenoma																								
DOID:8105	1338	extrahepatic bile duct cystadenoma																								
DOID:5469	1339	biliary tract intraductal papillary mucinous neoplasm																								
DOID:3120	1340	gallbladder papillomatosis																								
DOID:5545	1341	anal neuroendocrine tumor																								
DOID:0050914	1342	large intestine adenoma																								
DOID:10655	1343	lipoma of colon																								
DOID:10156	1344	ileal neoplasm																								
DOID:4434	1345	small intestine neuroendocrine neoplasm																								
DOID:3917	1346	pancreatic serous cystadenoma																								
DOID:5276	1347	esophagus leiomyosarcoma																								
DOID:0080374	1348	gastroesophageal cancer																								
DOID:4944	1349	gastroesophageal junction adenocarcinoma																								
DOID:0050922	1350	gastrointestinal carcinoma																								
DOID:4897	1351	bile duct carcinoma																								
DOID:4075	1352	bile duct cystadenocarcinoma																								
DOID:3698	1353	bile duct mucinous adenocarcinoma																								
DOID:8072	1354	sarcomatous intrahepatic cholangiocarcinoma																								
DOID:5926	1355	extrahepatic bile duct small cell adenocarcinoma																								
DOID:6931	1356	papillary extrahepatic bile duct adenocarcinoma																								
DOID:5293	1357	extrahepatic bile duct leiomyosarcoma																								
DOID:7222	1358	gallbladder pleomorphic giant cell adenocarcinoma																								
DOID:4058	1359	gallbladder sarcoma																								
DOID:5015	1360	fibrolamellar carcinoma																								
DOID:5016	1361	hepatocellular clear cell carcinoma																								
DOID:4047	1362	liver rhabdomyosarcoma																								
DOID:3039	1363	cecum adenocarcinoma																								
DOID:1520	1364	colon carcinoma																								
DOID:7401	1365	colonic L-cell glucagon-like peptide producing tumor																								
DOID:7707	1366	rectum signet ring adenocarcinoma																								
DOID:5528	1367	rectum squamous cell carcinoma																								
DOID:0060592	1368	B-cell adult acute lymphocytic leukemia																								
DOID:0080144	1369	childhood acute lymphocytic leukemia																								
DOID:0080146	1370	childhood B-cell acute lymphoblastic leukemia																								
DOID:713	1371	HCL-V																								
DOID:12965	1372	subleukemic leukemia																								
DOID:0080648	1373	B-lymphoblastic leukemia/lymphoma with IL3-IGH																								
DOID:0080650	1374	B-lymphoblastic leukemia/lymphoma, BCR-ABL1–like																								
DOID:11821	1375	bladder lymphoma																								
DOID:6271	1376	gastric cardia adenocarcinoma																								
DOID:5579	1377	gastric gastrinoma																								
DOID:6703	1378	gastric pylorus carcinoma																								
DOID:3717	1379	gastric adenocarcinoma																								
DOID:9551	1380	smoldering myeloma																								
DOID:0080167	1381	myeloid and lymphoid neoplasms associated with FGFR1 abnormalities																								
DOID:2226	1382	myeloproliferative neoplasm																								
DOID:7146	1383	Langerhans cell sarcoma																								
DOID:1035	1384	aggressive NK-cell leukemia																								
DOID:0080367	1385	chronic eosinophilic leukemia																								
DOID:5949	1386	angiokeratoma circumscriptum																								
DOID:5759	1387	sebaceous gland neoplasm																								
DOID:2648	1388	sebaceous adenoma																								
DOID:6945	1389	inverted follicular keratosis																								
DOID:10188	1390	skin lipoma																								
DOID:2061	1391	nodular hidradenoma																								
DOID:2065	1392	syringoma																								
DOID:1906	1393	malignant skin fibrous histiocytoma																								
DOID:4840	1394	sebaceous carcinoma																								
DOID:3965	1395	Merkel cell carcinoma																								
DOID:2513	1396	basal cell carcinoma																								
DOID:0060901	1397	Waldenstroem's macroglobulinemia																								
DOID:0050746	1398	mantle cell lymphoma																								
DOID:3720	1399	extramedullary plasmacytoma																								
DOID:3722	1400	solitary osseous plasmacytoma																								
DOID:0060061	1401	cutaneous T cell lymphoma																								
DOID:3664	1402	mast cell neoplasm																								
DOID:355	1403	mast-cell sarcoma																								
DOID:265	1404	spleen angiosarcoma																								
DOID:7050	1405	thymus basaloid carcinoma																								
DOID:5922	1406	adult brainstem astrocytoma																								
DOID:7912	1407	mixed oligodendroglioma-astrocytoma																								
DOID:7788	1408	adult spinal cord ependymoma																								
DOID:4152	1409	chondroid chordoma																								
DOID:8221	1410	upper clivus meningioma																								
DOID:5090	1411	sternum cancer																								
DOID:7492	1412	central epithelioid sarcoma																								
DOID:3516	1413	adult fibrosarcoma																								
DOID:6332	1414	adult malignant hemangiopericytoma																								
DOID:4281	1415	metatypical basal cell carcinoma																								
DOID:4292	1416	morpheaform basal cell carcinoma																								
DOID:4303	1417	sarcomatoid basal cell carcinoma																								
DOID:3450	1418	cutaneous Paget's disease																								
DOID:6425	1419	eyelid carcinoma																								
DOID:3151	1420	skin squamous cell carcinoma																								
DOID:8288	1421	clear cell squamous cell skin carcinoma																								
DOID:5536	1422	sarcomatoid squamous cell skin carcinoma																								
DOID:3351	1423	bone angioendothelial sarcoma																								
DOID:3371	1424	chondrosarcoma																								
DOID:5866	1425	juxtacortical chondrosarcoma																								
DOID:4545	1426	mesenchymal chondrosarcoma																								
DOID:5859	1427	periosteal chondrosarcoma																								
DOID:6696	1428	synchronous multifocal osteogenic sarcoma																								
DOID:7612	1429	childhood intracortical osteosarcoma																								
DOID:7542	1430	osteosarcoma arising in bone Paget's disease																								
DOID:5809	1431	childhood parosteal osteogenic sarcoma																								
DOID:3372	1432	chondroblastic osteosarcoma																								
DOID:3356	1433	localized osteosarcoma																								
DOID:4504	1434	central nervous system angiosarcoma																								
DOID:0050806	1435	glioblastoma neural subtype																								
DOID:7381	1436	lymphohistiocytoid mesothelioma																								
DOID:0050695	1437	malignant pleural solitary fibrous tumor																								
DOID:5485	1438	synovial sarcoma																								
DOID:4051	1439	alveolar rhabdomyosarcoma																								
DOID:5254	1440	central nervous system leiomyosarcoma																								
DOID:1965	1441	fallopian tube leiomyosarcoma																								
DOID:3073	1442	brain glioblastoma multiforme																								
DOID:5713	1443	mediastinum liposarcoma																								
DOID:7231	1444	pediatric CNS embryonal cell carcinoma																								
DOID:1659	1445	supratentorial cancer																								
DOID:3541	1446	cerebral ventricle cancer																								
DOID:3545	1447	childhood choroid plexus cancer																								
DOID:5074	1448	malignant ependymoma																								
DOID:14384	1449	parietal lobe neoplasm																								
DOID:4164	1450	cerebral neuroblastoma																								
DOID:5677	1451	extragonadal nonseminomatous germ cell tumor																								
DOID:4203	1452	brain stem cancer																								
DOID:3200	1453	cerebellopontine angle tumor																								
DOID:7501	1454	pediatric infratentorial ependymoma																								
DOID:5349	1455	central nervous system adult germ cell tumor																								
DOID:7233	1456	adult central nervous system embryonal carcinoma																								
DOID:8078	1457	childhood central nervous system germinoma																								
DOID:6018	1458	adult central nervous system immature teratoma																								
DOID:0060103	1459	central nervous system primitive neuroectodermal neoplasm																								
DOID:3865	1460	adult central nervous system primitive neuroectodermal neoplasm																								
DOID:2817	1461	cranial nerve III tumor																								
DOID:337	1462	spinal accessory nerve neoplasm																								
DOID:4209	1463	brainstem intraparenchymal clear cell meningioma																								
DOID:8368	1464	chordoid meningioma																								
DOID:6089	1465	pediatric leptomeningeal melanoma																								
DOID:8216	1466	parapharyngeal meningioma																								
DOID:7210	1467	psammomatous meningioma																								
DOID:13742	1468	neurofibroma of spinal cord																								
DOID:7515	1469	lumbar spinal canal and spinal cord meningioma																								
DOID:298	1470	lacrimal gland adenocarcinoma																								
DOID:1752	1471	ocular melanoma																								
DOID:6993	1472	iris mixed cell melanoma																								
DOID:768	1473	retinoblastoma																								
DOID:6524	1474	malignant ciliary body melanoma																								
DOID:7040	1475	uveal epithelioid cell melanoma																								
DOID:0050935	1476	cervical neuroblastoma																								
DOID:4163	1477	ganglioneuroblastoma																								
DOID:5193	1478	nodular ganglioneuroblastoma																								
DOID:8389	1479	lumbar plexus neoplasm																								
DOID:8353	1480	epithelioid malignant peripheral nerve sheath tumor																								
DOID:6345	1481	malignant melanocytic neoplasm of the peripheral nerve sheath																								
DOID:9300	1482	neurofibroma of the heart																								
DOID:5151	1483	plexiform neurofibroma																								
DOID:833	1484	auditory system cancer																								
DOID:5102	1485	inner ear cancer																								
DOID:11905	1486	labium majus cancer																								
DOID:1294	1487	vulva carcinoma																								
DOID:4879	1488	Bartholin's gland adenoid cystic carcinoma																								
DOID:3740	1489	vulva verrucous carcinoma																								
DOID:6789	1490	vulvar childhood botryoid-type embryonal rhabdomyosarcoma																								
DOID:8336	1491	childhood choriocarcinoma of the ovary																								
DOID:6331	1492	immature teratoma of ovary																								
DOID:7340	1493	pediatric ovarian dysgerminoma																								
DOID:2143	1494	ovarian malignant mesothelioma																								
DOID:8186	1495	fallopian tube gestational choriocarcinoma																								
DOID:4008	1496	fallopian tube transitional cell carcinoma																								
DOID:5564	1497	fallopian tube teratoma																								
DOID:3713	1498	ovary adenocarcinoma																								
DOID:3605	1499	ovarian cystadenocarcinoma																								
DOID:6408	1500	ovary papillary carcinoma																								
DOID:6170	1501	ovarian carcinosarcoma																								
DOID:6407	1502	ovarian surface papilloma																								
DOID:5532	1503	ovarian squamous cell neoplasm																								
DOID:3002	1504	ovary neuroendocrine neoplasm																								
DOID:4111	1505	cervical adenosarcoma																								
DOID:4320	1506	non-gestational choriocarcinoma																								
DOID:4113	1507	uterine corpus adenosarcoma																								
DOID:5727	1508	uterine ligament cancer																								
DOID:6132	1509	bronchitis																								
DOID:5588	1510	lung papillary adenocarcinoma																								
DOID:4872	1511	lung adenoid cystic carcinoma																								
DOID:4556	1512	lung large cell carcinoma																								
DOID:7480	1513	large cell carcinoma with rhabdoid phenotype																								
DOID:0050872	1514	large cell neuroendocrine carcinoma																								
DOID:2784	1515	lung sarcoma																								
DOID:7081	1516	lung mixed small cell and squamous cell carcinoma																								
DOID:1325	1517	bronchus cancer																								
DOID:8415	1518	carcinoma arising in nasal papillomatosis																								
DOID:5515	1519	nasal cavity squamous cell carcinoma																								
DOID:7910	1520	maxillary sinus squamous cell carcinoma																								
DOID:4875	1521	trachea adenoid cystic carcinoma																								
DOID:12002	1522	trachea sarcoma																								
DOID:10660	1523	mediastinum neuroblastoma																								
DOID:5139	1524	cellular leiomyoma																								
DOID:10203	1525	external auditory meatus lipoma																								
DOID:2615	1526	papilloma																								
